Enplanements,name,latitude,longitude,elevation_ft,local_code
16809,Block Island State Airport,41.16809845,-71.57779694,108,BID
16208,Unalakleet Airport,63.88840103,-160.798996,27,UNK
15977,Salina Municipal Airport,38.79100037,-97.65219879,1288,SLN
15835,Cedar City Regional Airport,37.70100021,-113.098999,5622,CDC
15431,Middle Georgia Regional Airport,32.69279861,-83.64920044,354,MCN
14612,Benjamin Rivera Noriega Airport,18.312954,-65.303893,49,CPX
14295,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,3967,BFF
14106,Fernando Luis Ribas Dominicci Airport,18.45680046,-66.09809875,10,SIG
14035,Canyonlands Field,38.75500107,-109.7549973,4557,CNY
14033,Wrangell Airport,56.48429871,-132.3699951,49,WRG
13798,North Platte Regional Airport Lee Bird Field,41.12620163,-100.6839981,2777,LBF
13557,Tupelo Regional Airport,34.26810074,-88.76989746,346,TUP
13182,Sheridan County Airport,44.76919937,-106.9800034,4021,SHR
13077,Buchanan Field,37.98970032,-122.0569992,26,CCR
12853,Aniak Airport,61.58160019,-159.5429993,88,ANI
12369,Southwest Oregon Regional Airport,43.417099,-124.2460022,17,OTH
12179,Shenandoah Valley Regional Airport,38.263802,-78.8964,1201,SHD
12064,Watertown Regional Airport,44.91400146,-97.15470123,1749,ATY
11996,Hays Regional Airport,38.84220123,-99.27320099,1999,HYS
11811,Riverton Regional Airport,43.06420136,-108.4599991,5525,RIW
11800,Yakutat Airport,59.508717,-139.660435,33,YAK
11768,Jamestown Regional Airport,46.92969894,-98.67819977,1500,JMS
11633,Quincy Regional Baldwin Field,39.94269943,-91.19460297,768,UIN
11614,Alpena County Regional Airport,45.0780983,-83.56030273,690,APN
11442,St Mary's Airport,62.0605011,-163.302002,312,KSM
11078,Veterans Airport of Southern Illinois,37.751208,-89.016568,472,MWA
11023,Gustavus Airport,58.4253006,-135.7070007,35,GST
10865,Presque Isle International Airport,46.688999,-68.0448,534,PQI
10658,Vernal Regional Airport,40.4408989,-109.5100021,5278,VEL
10478,Merrill Field,61.21350098,-149.8439941,137,MRI
10459,Pueblo Memorial Airport,38.289101,-104.497002,4726,PUB
10360,Lebanon Municipal Airport,43.62609863,-72.30419922,603,LEB
10359,Greenbrier Valley Airport,37.85829926,-80.39949799,2302,LWB
10337,Prescott International Airport - Ernest A. Love Field,34.654499,-112.419998,5045,PRC
10316,Provincetown Municipal Airport,42.07189941,-70.2213974,9,PVC
10314,Vero Beach Regional Airport,27.6556,-80.417901,24,VRB
10194,Laurence G Hanscom Field,42.47000122,-71.28900146,133,BED
10055,Sidney - Richland Regional Airport,47.706902,-104.193001,1985,SDY
10050,Valdez Pioneer Field,61.1339,-146.248001,121,VDZ
8200,Yellowstone Airport,44.68840027,-111.1179962,6649,WYS
